entry_date,trades,total_pnl,total_loss,total_profit,loss_count,win_count,win_rate_pct
2026-02-01,307.0,-408597.35,-617164.55,208567.19999999995,216.0,91.0,29.64169381107492
2026-01-23,334.0,-330216.74999999994,-458401.00000000006,128184.25000000004,264.0,70.0,20.958083832335326
2026-01-20,166.0,-244429.39999999997,-248673.8,4244.4,162.0,4.0,2.4096385542168677
2026-01-09,210.0,-206112.24999999994,-243873.04999999996,37760.799999999996,176.0,34.0,16.19047619047619
2026-01-06,85.0,-67416.71999999997,-86880.32999999999,19463.609999999997,58.0,27.0,31.76470588235294
2025-12-31,75.0,-42123.91,-65863.26999999999,23739.359999999997,53.0,22.0,29.333333333333332
2026-01-22,313.0,-39070.29999999999,-325778.1,286707.80000000005,166.0,147.0,46.96485623003195
2026-01-07,35.0,-36406.30000000001,-50234.70000000001,13828.400000000001,21.0,14.0,40.0
2025-12-23,69.0,-31527.819999999996,-51543.6,20015.779999999995,48.0,21.0,30.434782608695656
2026-01-30,45.0,-23080.05000000001,-44126.40000000001,21046.35,28.0,17.0,37.77777777777778
2026-01-01,98.0,-22442.14,-75739.76000000001,53297.619999999995,61.0,37.0,37.755102040816325
2025-12-04,78.0,-14283.0,-42977.75,28694.75,42.0,36.0,46.15384615384615
2026-01-05,43.0,-10783.540000000003,-29692.280000000006,18908.739999999998,25.0,18.0,41.86046511627907
2026-01-08,17.0,-8513.0,-13633.359999999999,5120.36,12.0,5.0,29.411764705882355
2025-12-05,33.0,-6823.25,-23439.25,16616.0,19.0,14.0,42.42424242424242
2025-12-30,3.0,-4428.099999999999,-4428.099999999999,0.0,3.0,0.0,0.0
2026-01-14,24.0,-3840.1999999999994,-21464.949999999997,17624.75,14.0,10.0,41.66666666666667
2026-01-31,2.0,3.2,0.0,3.2,0.0,2.0,100.0
2025-12-29,7.0,3.759999999999999,0.0,3.759999999999999,0.0,7.0,100.0
2025-12-26,3.0,3262.13,0.0,3262.13,0.0,3.0,100.0
2025-12-02,64.0,5593.0,-15866.0,21459.0,21.0,32.0,50.0
2025-12-03,51.0,7850.5,-17418.0,25268.5,18.0,33.0,64.70588235294117
2025-12-09,39.0,29144.0,-3860.0,33004.0,6.0,32.0,82.05128205128204
2026-01-29,174.0,46710.250000000015,-123183.09999999998,169893.35,83.0,91.0,52.29885057471264
2026-01-27,663.0,65991.85,-785889.65,851881.5,334.0,329.0,49.62292609351433
2026-01-28,165.0,74176.95,-99956.25,174133.20000000004,63.0,102.0,61.81818181818181
2026-01-19,212.0,97807.80000000002,-112606.59999999998,210414.40000000002,80.0,132.0,62.264150943396224
2026-01-16,143.0,108335.79999999999,-64962.200000000004,173298.0,51.0,92.0,64.33566433566433
2025-12-24,145.0,123783.05000000002,-37368.759999999995,161151.80999999994,32.0,113.0,77.93103448275862
2026-01-13,214.0,135209.3,-95983.79999999999,231193.10000000003,73.0,141.0,65.88785046728972
2026-01-12,165.0,165071.65,-71793.44999999998,236865.09999999995,59.0,106.0,64.24242424242425
2026-02-02,472.0,317143.7,-478433.69999999995,795577.3999999999,184.0,288.0,61.016949152542374
2026-01-21,526.0,351630.55,-393760.1,745390.6499999999,220.0,306.0,58.174904942965775
