day_of_week,trades,total_pnl,total_loss,total_profit,loss_count,win_count,win_rate_pct,day_name
4,768.0,-454634.37,-834801.8999999999,380167.53,538.0,230.0,29.947916666666668,Fri
6,307.0,-408597.35,-617164.55,208567.19999999995,216.0,91.0,29.64169381107492,Sun
1,1303.0,-111863.89000000001,-1293125.28,1181261.3900000001,705.0,586.0,44.97313891020722,Tue
3,680.0,-37598.18999999996,-581312.07,543713.88,364.0,316.0,46.470588235294116,Thu
5,2.0,3.2,0.0,3.2,0.0,2.0,100.0,Sat
2,1021.0,475070.64,-686066.0299999999,1161136.67,421.0,600.0,58.76591576885406,Wed
0,899.0,569243.37,-692526.03,1261769.4000000001,348.0,551.0,61.29032258064516,Mon
