entry_hour,trades,total_pnl,total_loss,total_profit,loss_count,win_count,win_rate_pct
15,365.0,-322333.87999999995,-525021.9000000001,202688.02000000008,237.0,127.0,34.794520547945204
10,937.0,-243771.33,-982825.9099999998,739054.5799999998,542.0,395.0,42.15581643543223
13,801.0,-206020.2,-899417.43,693397.23,449.0,350.0,43.69538077403246
14,698.0,-40972.87999999995,-598866.36,557893.4800000001,362.0,335.0,47.99426934097421
9,649.0,34209.30999999991,-624927.3399999999,659136.6500000001,351.0,294.0,45.300462249614796
11,742.0,294485.9900000001,-585403.7599999999,879889.75,339.0,400.0,53.908355795148246
12,788.0,516026.4,-488533.1599999999,1004559.5599999999,312.0,475.0,60.27918781725889
