time,open,high,low,close,EMA 7,RSI
2025-11-28T14:27:00+05:30,85727.59,85727.59,85706.19,85721.1,85720.5629927557,45.332629709042706
2025-11-28T14:30:00+05:30,85718.94,85751.74,85715.61,85751.74,85728.35724456678,59.69793089175466
2025-11-28T14:33:00+05:30,85751.75,85778.8,85740.57,85754.74,85734.95293342508,60.87241955488779
2025-11-28T14:36:00+05:30,85753.15,85786.59,85741.74,85786.59,85747.8622000688,71.24996835487619
2025-11-28T14:39:00+05:30,85786.33,85786.33,85735.54,85751.2,85748.6966500516,53.02051490593608
2025-11-28T14:42:00+05:30,85750.8,85760.08,85718.85,85722.84,85742.2324875387,42.7860789272553
2025-11-28T14:45:00+05:30,85723.04,85743.31,85717.44,85731.93,85739.65686565402,46.63782742578439
2025-11-28T14:48:00+05:30,85732.51,85738.65,85713.55,85720.74,85734.92764924052,42.52609618671584
2025-11-28T14:51:00+05:30,85721.01,85740.57,85708.43,85738.82,85735.90073693039,50.71646387466278
2025-11-28T14:54:00+05:30,85736.54,85740.34,85723.53,85738.13,85736.4580526978,50.39669790889364
2025-11-28T14:57:00+05:30,85736.73,85755.19,85729.83,85746.05,85738.85603952335,54.258717644254936
2025-11-28T15:00:00+05:30,85746.17,85748.94,85707.16,85722.21,85734.69452964251,42.6086271069963
2025-11-28T15:03:00+05:30,85719.05,85750.29,85717.73,85737.71,85735.44839723188,50.64664060964237
2025-11-28T15:06:00+05:30,85731.95,85757.91,85711.39,85721.57,85731.97879792392,43.282340527462445
2025-11-28T15:09:00+05:30,85722.89,85728.12,85711.44,85712.59,85727.13159844294,39.54948437334679
2025-11-28T15:12:00+05:30,85713.6,85718.49,85691.8,85694.98,85719.0936988322,33.03180951399807
2025-11-28T15:15:00+05:30,85695.75,85712.28,85688.45,85690.68,85711.99027412415,31.550603633271237
2025-11-28T15:18:00+05:30,85691.91,85718.83,85684.04,85706.17,85710.53520559311,42.40483008206726
2025-11-28T15:21:00+05:30,85706.88,85728.41,85689.49,85697.67,85707.31890419484,38.49671597283065
2025-11-28T15:24:00+05:30,85695.42,85749.09,85683.87,85736.79,85714.68667814613,58.85670965803953
2025-11-28T15:27:00+05:30,85737.41,85745.47,85700.29,85700.29,85711.08750860959,43.265973529768985
2025-12-01T09:15:00+05:30,86159.02,86159.02,85931.35,86002.48,85783.93563145719,84.05726572223624
2025-12-01T09:18:00+05:30,86002.03,86022.8,85959.09,85963.03,85828.70922359289,75.76098950605784
2025-12-01T09:21:00+05:30,85957.15,86029.63,85957.15,85990.74,85869.21691769466,77.57475620995803
2025-12-01T09:24:00+05:30,85988.89,86022.53,85961.02,85972.97,85895.15518827099,73.46205370773036
2025-12-01T09:27:00+05:30,85967.29,85999.26,85967.2,85977.74,85915.80139120325,73.89546534941388
2025-12-01T09:30:00+05:30,85971.62,86014.66,85969.66,85985.94,85933.33604340244,74.72339653245955
2025-12-01T09:33:00+05:30,85984.62,86052.62,85984.62,86027.67,85956.91953255182,78.72884135157133
2025-12-01T09:36:00+05:30,86021.13,86070.42,86018.56,86069.41,85985.04214941387,82.048436795231
2025-12-01T09:39:00+05:30,86067.59,86109.4,86066.9,86067.69,86005.7041120604,81.43743722721828
2025-12-01T09:42:00+05:30,86068.97,86073.63,85982.56,86007.74,86006.2130840453,62.50880214362125
2025-12-01T09:45:00+05:30,86012.76,86026.47,85981.21,86017.46,86009.02481303398,64.08772874023569
2025-12-01T09:48:00+05:30,86018.42,86037.16,86009.44,86013.35,86010.10610977549,62.78336252289426
2025-12-01T09:51:00+05:30,86013.82,86015.71,85950.52,85960.49,85997.70208233161,48.09543177591369
2025-12-01T09:54:00+05:30,85960.09,85981.98,85953.31,85961.16,85988.56656174871,48.27437539706274
2025-12-01T09:57:00+05:30,85956.32,85984.27,85935.06,85935.06,85975.18992131154,41.73516555771224
2025-12-01T10:00:00+05:30,85941.4,85996.48,85940.25,85981.89,85976.86494098365,54.606711167962956
2025-12-01T10:03:00+05:30,85983.09,86019.97,85966.31,86013.46,85986.01370573774,61.32622646172072
2025-12-01T10:06:00+05:30,86011.57,86013.42,85990.46,86007.79,85991.45777930331,59.481287821360894
2025-12-01T10:09:00+05:30,86008.01,86018.96,85989.07,86017.15,85997.88083447749,61.700352886466504
2025-12-01T10:12:00+05:30,86017.19,86019.18,86000.7,86005.71,85999.83812585812,57.23101855689108
2025-12-01T10:15:00+05:30,86007.76,86020.9,85968.44,85972.01,85992.88109439358,45.82343827098745
2025-12-01T10:18:00+05:30,85972.42,85986.33,85955.36,85979.25,85989.4733207952,48.40128108781511
2025-12-01T10:21:00+05:30,85979,85984.86,85962.92,85977.69,85986.5274905964,47.829182633545464
2025-12-01T10:24:00+05:30,85978.1,85979.17,85944.22,85955.41,85978.74811794731,39.959286200005614
2025-12-01T10:27:00+05:30,85952.64,85978.86,85939.78,85976.58,85978.20608846049,49.22138429652638
2025-12-01T10:30:00+05:30,85977.29,85986.54,85958.84,85980.59,85978.80206634536,50.89538689367186
2025-12-01T10:33:00+05:30,85980.37,85999.73,85951.03,85966.95,85975.83904975903,45.00729032051739
2025-12-01T10:36:00+05:30,85970.6,85970.96,85926.28,85926.28,85963.44928731926,32.092091042027846
2025-12-01T10:39:00+05:30,85923.91,85937.14,85902.66,85936.77,85956.77946548945,37.48988894928484
2025-12-01T10:42:00+05:30,85938.08,85940.17,85898.62,85903.11,85943.36209911709,28.892496596973857
2025-12-01T10:45:00+05:30,85902.21,85907.22,85868.44,85889.14,85929.80657433782,26.0048979437135
2025-12-01T10:48:00+05:30,85890.26,85895.79,85858.49,85858.49,85911.97743075337,20.707522402152122
2025-12-01T10:51:00+05:30,85855.14,85860.93,85818.63,85829.59,85891.38057306502,16.916685945211157
2025-12-01T10:54:00+05:30,85824.54,85838.25,85810.68,85831.9,85876.51042979877,18.31122354005693
2025-12-01T10:57:00+05:30,85830.13,85849.81,85816.75,85849.81,85869.83532234907,29.078905944015787
2025-12-01T11:00:00+05:30,85849.92,85849.92,85786.1,85788.25,85849.4389917618,19.023492792761402
2025-12-01T11:03:00+05:30,85785.21,85822.13,85785.21,85800.72,85837.25924382135,25.14107839514172
