entry_timestamp,exit_timestamp,exchange,position_id,symbol,type,side,quantity,entry_price,exit_price,pnl,entry_reason,exit_reason,status,confidence,kelly_fraction,constraint_violation,signal_id,pnl_source
2025-12-04 09:29:08,2025-12-04 09:34:12,NSE,NSE_AUTO_0001,NIFTY25DEC26000PE,PE,BUY,75,215.05,211.65,-255.0,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.9127577319560446,0.309,False,NSE-1764820748670-51,original
2025-12-04 09:29:08,2025-12-04 14:45:01,BSE,BSE_AUTO_0001,SENSEX25D0485300PE,PE,BUY,20,465.1,300.3,-3296.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9998424647404424,0.309,False,BSE-1764820748706-51,target_stop
2025-12-04 09:34:12,2025-12-04 14:45:01,BSE,BSE_AUTO_0002,SENSEX25D0485300PE,PE,BUY,20,465.1,300.3,-3296.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9999423966728374,0.309,False,BSE-1764821052957-102,target_stop
2025-12-04 09:34:48,2025-12-04 10:28:07,NSE,NSE_AUTO_0002,NIFTY25DEC26000PE,PE,BUY,75,207.9,182.0,-1942.5,Auto-lightgbm-LimitChase,Stop Loss (-25),CLOSED,0.7526964625405324,0.309,False,NSE-1764821088598-108,original
2025-12-04 09:35:37,2025-12-04 14:45:01,BSE,BSE_AUTO_0003,SENSEX25D0485400PE,PE,BUY,20,544.9,373.75,-3423.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9999531665100962,0.309,False,BSE-1764821137049-116,target_stop
2025-12-04 09:39:59,2025-12-04 10:29:32,NSE,NSE_AUTO_0003,NIFTY25DEC26000PE,PE,BUY,75,203.15,176.4,-2006.25,Auto-lightgbm-LimitChase,Stop Loss (-25),CLOSED,0.761959015934479,0.309,False,NSE-1764821399464-160,original
2025-12-04 09:40:41,2025-12-04 14:45:01,BSE,BSE_AUTO_0004,SENSEX25D0485400PE,PE,BUY,20,544.9,373.75,-3423.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9981033990135774,0.309,False,BSE-1764821441192-167,target_stop
2025-12-04 09:45:40,2025-12-04 10:30:02,NSE,NSE_AUTO_0004,NIFTY25DEC26050PE,PE,BUY,75,217.3,192.0,-1897.5,Auto-lightgbm-LimitChase,Stop Loss (-25),CLOSED,0.965393564371499,0.309,False,NSE-1764821740461-217,original
2025-12-04 09:45:46,2025-12-04 14:45:01,BSE,BSE_AUTO_0005,SENSEX25D0485400PE,PE,BUY,20,544.9,373.75,-3423.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.668152863216647,0.309,False,BSE-1764821746357-218,target_stop
2025-12-04 09:50:51,2025-12-04 14:45:01,BSE,BSE_AUTO_0006,SENSEX25D0485400PE,PE,BUY,20,544.9,373.75,-3423.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9985405610470952,0.309,False,BSE-1764822051561-269,target_stop
2025-12-04 09:55:58,2025-12-04 14:45:01,BSE,BSE_AUTO_0007,SENSEX25D0485100CE,CE,BUY,20,138.2,194.2,1120.0,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.9614534326056104,0.309,False,BSE-1764822358179-320,target_stop
2025-12-04 10:00:58,2025-12-04 14:45:01,BSE,BSE_AUTO_0008,SENSEX25D0485500PE,PE,BUY,20,628.9,450.05,-3577.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.999849631419642,0.309,False,BSE-1764822658615-370,target_stop
2025-12-04 10:05:59,2025-12-04 14:45:01,BSE,BSE_AUTO_0009,SENSEX25D0485400PE,PE,BUY,20,544.9,373.75,-3423.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.955795506447613,0.309,False,BSE-1764822959337-420,target_stop
2025-12-04 10:10:59,2025-12-04 14:45:01,BSE,BSE_AUTO_0010,SENSEX25D0485500PE,PE,BUY,20,628.9,450.05,-3577.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9998086523816392,0.309,False,BSE-1764823259895-470,target_stop
2025-12-04 10:16:00,2025-12-04 14:45:01,BSE,BSE_AUTO_0011,SENSEX25D0485500PE,PE,BUY,20,628.9,450.05,-3577.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9995517461188258,0.309,False,BSE-1764823560375-520,target_stop
2025-12-04 10:21:00,2025-12-04 14:45:01,BSE,BSE_AUTO_0012,SENSEX25D0485100CE,CE,BUY,20,138.2,194.2,1120.0,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.8306504748315083,0.309,False,BSE-1764823860947-570,target_stop
2025-12-04 10:26:01,2025-12-04 14:45:01,BSE,BSE_AUTO_0013,SENSEX25D0485500PE,PE,BUY,20,628.9,450.05,-3577.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.999459939366914,0.309,False,BSE-1764824161765-620,target_stop
2025-12-04 10:29:01,2025-12-04 11:42:10,NSE,NSE_AUTO_0005,NIFTY25DEC26050PE,PE,BUY,75,197.8,211.9,1057.5,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.9950165323894016,0.309,False,NSE-1764824341907-650,original
2025-12-04 10:30:08,2025-12-04 14:45:01,BSE,BSE_AUTO_0014,SENSEX25D0485600PE,PE,BUY,20,718.45,532.1,-3727.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9318204421252088,0.309,False,BSE-1764824408503-661,target_stop
