entry_timestamp,exit_timestamp,exchange,position_id,symbol,type,side,quantity,entry_price,exit_price,pnl,entry_reason,exit_reason,status,confidence,kelly_fraction,constraint_violation,signal_id,pnl_source
2026-01-13 09:41:48,2026-01-13 09:41:50,BSE,BSE_AUTO_0001,SENSEX2611484000PE,PE,BUY,20,425.57,485.1,1190.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.95,0.309,False,BSE-1768277508643-25,original
2026-01-13 09:42:16,2026-01-13 09:42:19,BSE,BSE_AUTO_0002,SENSEX2611484000PE,PE,BUY,20,419.22,487.55,1366.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.9317713823828664,0.309,False,BSE-1768277536626-26,original
2026-01-13 09:42:25,2026-01-13 10:09:51,NSE,NSE_AUTO_0001,NIFTY26JAN25750PE,PE,BUY,65,178.32,204.0,1669.2,Auto-lightgbm-LimitChase,Target Hit (+25),CLOSED,0.6720785140991211,0.309,False,NSE-1768277545806-32,original
2026-01-13 09:42:35,2026-01-13 09:42:36,BSE,BSE_AUTO_0003,SENSEX2611484000PE,PE,BUY,20,418.12,490.7,1451.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.95,0.309,False,BSE-1768277555083-27,original
2026-01-13 09:42:55,2026-01-13 09:42:59,BSE,BSE_AUTO_0004,SENSEX2611484000PE,PE,BUY,20,422.97,498.95,1519.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.95,0.309,False,BSE-1768277575271-28,original
2026-01-13 09:43:26,2026-01-13 09:43:28,BSE,BSE_AUTO_0005,SENSEX2611484000PE,PE,BUY,20,396.92,495.8,1977.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.95,0.309,False,BSE-1768277606924-29,original
2026-01-13 09:43:36,2026-01-13 09:43:39,BSE,BSE_AUTO_0006,SENSEX2611484000PE,PE,BUY,20,410.42,484.3,1477.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.95,0.309,False,BSE-1768277616799-30,original
2026-01-13 09:44:00,2026-01-13 09:44:10,BSE,BSE_AUTO_0007,SENSEX2611484000PE,PE,BUY,20,420.62,496.7,1521.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.95,0.309,False,BSE-1768277640759-31,original
2026-01-13 09:44:59,2026-01-13 09:45:20,BSE,BSE_AUTO_0008,SENSEX2611483900PE,PE,BUY,20,414.77,363.2,-1031.4,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.95,0.309,False,BSE-1768277699601-32,original
2026-01-13 09:46:43,2026-01-13 09:46:46,BSE,BSE_AUTO_0009,SENSEX2611483900PE,PE,BUY,20,394.77,312.4,-1647.4,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.95,0.309,False,BSE-1768277803341-33,original
2026-01-13 09:46:48,2026-01-13 09:46:52,BSE,BSE_AUTO_0010,SENSEX2611483900PE,PE,BUY,20,397.17,319.5,-1553.4,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.95,0.309,False,BSE-1768277808851-34,original
2026-01-13 09:47:52,2026-01-13 09:47:55,BSE,BSE_AUTO_0011,SENSEX2611483900PE,PE,BUY,20,402.17,330.6,-1431.4,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.95,0.309,False,BSE-1768277872871-35,original
2026-01-13 09:48:10,2026-01-13 10:39:17,NSE,NSE_AUTO_0002,NIFTY26JAN25750PE,PE,BUY,65,189.47,160.7,-1870.05,Auto-lightgbm-LimitChase,Stop Loss (-25),CLOSED,0.672157371044159,0.309,False,NSE-1768277882826-37,original
2026-01-13 09:48:39,2026-01-13 09:48:40,BSE,BSE_AUTO_0012,SENSEX2611483900PE,PE,BUY,20,420.47,350.35,-1402.4,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.95,0.309,False,BSE-1768277919470-36,original
2026-01-13 09:48:47,2026-01-13 09:48:52,BSE,BSE_AUTO_0013,SENSEX2611483900PE,PE,BUY,20,426.62,372.45,-1083.4,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.95,0.309,False,BSE-1768277927294-37,original
2026-01-13 09:49:33,2026-01-13 09:49:49,BSE,BSE_AUTO_0014,SENSEX2611483900PE,PE,BUY,20,435.77,379.4,-1127.4,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.8957986678785145,0.309,False,BSE-1768277973597-38,original
2026-01-13 09:53:10,2026-01-13 09:56:48,BSE,BSE_AUTO_0015,SENSEX2611483900PE,PE,BUY,20,400.02,465.15,1302.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.7541659104512329,0.309,False,BSE-1768278182577-39,original
2026-01-13 09:56:56,2026-01-13 09:57:00,BSE,BSE_AUTO_0016,SENSEX2611483900PE,PE,BUY,20,404.17,478.35,1483.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.8464424291620755,0.309,False,BSE-1768278416312-54,original
2026-01-13 09:57:36,2026-01-13 09:57:40,BSE,BSE_AUTO_0017,SENSEX2611484000PE,PE,BUY,20,415.22,528.25,2260.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.95,0.309,False,BSE-1768278456302-55,original
2026-01-13 09:57:45,2026-01-13 09:57:46,BSE,BSE_AUTO_0018,SENSEX2611484000PE,PE,BUY,20,390.62,530.45,2796.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.95,0.309,False,BSE-1768278465598-56,original
2026-01-13 09:58:25,2026-01-13 09:58:26,BSE,BSE_AUTO_0019,SENSEX2611484000PE,PE,BUY,20,372.77,504.9,2642.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.8107044314033395,0.309,False,BSE-1768278505702-57,original
2026-01-13 09:58:28,2026-01-13 09:58:32,BSE,BSE_AUTO_0020,SENSEX2611484000PE,PE,BUY,20,359.42,512.15,3054.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.7252827715262351,0.309,False,BSE-1768278508400-58,original
2026-01-13 09:58:36,2026-01-13 09:58:38,BSE,BSE_AUTO_0021,SENSEX2611484100PE,PE,BUY,20,413.97,586.2,3444.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.9387153302344058,0.309,False,BSE-1768278516061-59,original
2026-01-13 09:58:43,2026-01-13 09:58:43,BSE,BSE_AUTO_0022,SENSEX2611484100PE,PE,BUY,20,427.32,582.05,3094.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.95,0.309,False,BSE-1768278523389-60,original
2026-01-13 09:58:48,2026-01-13 09:58:49,BSE,BSE_AUTO_0023,SENSEX2611484000PE,PE,BUY,20,375.42,511.6,2723.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.7287715182844654,0.309,False,BSE-1768278528813-61,original
2026-01-13 09:58:54,2026-01-13 09:58:55,BSE,BSE_AUTO_0024,SENSEX2611484000PE,PE,BUY,20,380.17,511.6,2628.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.7449430412232788,0.309,False,BSE-1768278534230-62,original
2026-01-13 09:59:10,2026-01-13 09:59:10,BSE,BSE_AUTO_0025,SENSEX2611484000PE,PE,BUY,20,362.27,503.25,2819.6,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.7540815977686516,0.309,False,BSE-1768278541908-63,original
