entry_timestamp,exit_timestamp,exchange,position_id,symbol,type,side,quantity,entry_price,exit_price,pnl,entry_reason,exit_reason,status,confidence,kelly_fraction,constraint_violation,signal_id
2025-12-04 09:29:08,2025-12-04 09:34:12,NSE,NSE_AUTO_0001,NIFTY25DEC26000PE,PE,BUY,75,215.05,211.65,-255.0,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.9127577319560446,0.309,False,NSE-1764820748670-51
2025-12-04 09:29:08,2025-12-04 09:35:25,BSE,BSE_AUTO_0001,SENSEX25D0485300PE,PE,BUY,20,249.45,199.0,-1009.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9998424647404424,0.309,False,BSE-1764820748706-51
2025-12-04 09:34:12,2025-12-04 09:35:36,BSE,BSE_AUTO_0002,SENSEX25D0485300PE,PE,BUY,20,242.5,191.65,-1017.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9999423966728374,0.309,False,BSE-1764821052957-102
2025-12-04 09:34:48,2025-12-04 10:28:07,NSE,NSE_AUTO_0002,NIFTY25DEC26000PE,PE,BUY,75,207.9,182.0,-1942.5,Auto-lightgbm-LimitChase,Stop Loss (-25),CLOSED,0.7526964625405324,0.309,False,NSE-1764821088598-108
2025-12-04 09:35:37,2025-12-04 09:52:40,BSE,BSE_AUTO_0003,SENSEX25D0485400PE,PE,BUY,20,260.9,200.55,-1207.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9999531665100962,0.309,False,BSE-1764821137049-116
2025-12-04 09:39:59,2025-12-04 10:29:32,NSE,NSE_AUTO_0003,NIFTY25DEC26000PE,PE,BUY,75,203.15,176.4,-2006.25,Auto-lightgbm-LimitChase,Stop Loss (-25),CLOSED,0.761959015934479,0.309,False,NSE-1764821399464-160
2025-12-04 09:40:41,2025-12-04 09:44:34,BSE,BSE_AUTO_0004,SENSEX25D0485400PE,PE,BUY,20,285.15,233.1,-1041.0,Auto-lightgbm-LimitChase,Stop Loss (-50),CLOSED,0.9981033990135774,0.309,False,BSE-1764821441192-167
2025-12-04 09:45:40,2025-12-04 10:30:02,NSE,NSE_AUTO_0004,NIFTY25DEC26050PE,PE,BUY,75,217.3,192.0,-1897.5,Auto-lightgbm-LimitChase,Stop Loss (-25),CLOSED,0.965393564371499,0.309,False,NSE-1764821740461-217
2025-12-04 09:45:46,2025-12-04 09:55:58,BSE,BSE_AUTO_0005,SENSEX25D0485400PE,PE,BUY,20,227.1,208.0,-382.0,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.668152863216647,0.309,False,BSE-1764821746357-218
2025-12-04 09:50:51,2025-12-04 09:55:58,BSE,BSE_AUTO_0006,SENSEX25D0485400PE,PE,BUY,20,240.15,208.0,-643.0,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.9985405610470952,0.309,False,BSE-1764822051561-269
