entry_timestamp,exit_timestamp,exchange,position_id,symbol,type,side,quantity,entry_price,exit_price,pnl,entry_reason,exit_reason,status,confidence,kelly_fraction,constraint_violation,signal_id
2025-12-03 09:20:40,2025-12-03 14:20:44,NSE,NSE_AUTO_0001,NIFTY25DEC26000CE,CE,BUY,75,384.65,215.0,588.75,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.997477360255203,0.309,False,NSE-1764733840274-59
2025-12-03 09:20:41,2025-12-03 13:30:52,BSE,BSE_AUTO_0001,SENSEX25D0485000CE,CE,BUY,20,353.8,382.7,912.0,Auto-lightgbm-LimitChase,Signal Flip (BUY → SELL),CLOSED,0.9722818079219716,0.309,False,BSE-1764733841679-54
2025-12-03 09:25:40,2025-12-03 14:25:47,NSE,NSE_AUTO_0002,NIFTY25DEC26000CE,CE,BUY,75,373.6,370.4,960.0,Auto-lightgbm-LimitChase,Signal Flip (BUY → SELL),CLOSED,0.999879993729127,0.309,False,NSE-1764734140948-117
2025-12-03 09:25:43,2025-12-03 13:30:52,BSE,BSE_AUTO_0002,SENSEX25D0484900CE,CE,BUY,20,400.0,382.7,899.0,Auto-lightgbm-LimitChase,Signal Flip (BUY → SELL),CLOSED,0.9812146316450864,0.309,False,BSE-1764734143845-107
2025-12-03 09:28:00,2025-12-03 13:46:06,BSE,BSE_AUTO_0003,SENSEX25D0484800CE,CE,BUY,20,408.35,313.6,1100.0,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.9982171482360832,0.309,False,BSE-1764734280559-131
2025-12-03 09:30:42,2025-12-03 14:30:50,NSE,NSE_AUTO_0003,NIFTY25DEC25950CE,CE,BUY,75,384.95,214.0,390.0,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.9997875071229833,0.309,False,NSE-1764734442293-175
2025-12-03 09:33:04,2025-12-03 13:46:06,BSE,BSE_AUTO_0004,SENSEX25D0484800CE,CE,BUY,20,388.7,313.6,1048.0,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.9978382599417324,0.309,False,BSE-1764734584627-184
2025-12-03 09:34:42,2025-12-03 13:46:06,BSE,BSE_AUTO_0005,SENSEX25D0484700CE,CE,BUY,20,396.55,380.75,1000.0,Auto-lightgbm-LimitChase,Target Hit (+50),CLOSED,0.9977715657901854,0.309,False,BSE-1764734682536-201
2025-12-03 09:35:45,2025-12-03 14:35:53,NSE,NSE_AUTO_0004,NIFTY25DEC25950CE,CE,BUY,75,368.55,353.75,-315.0,Auto-lightgbm-LimitChase,Signal Flip (BUY → SELL),CLOSED,0.9964414158513676,0.309,False,NSE-1764734745453-233
2025-12-03 09:39:46,2025-12-03 13:51:09,BSE,BSE_AUTO_0006,SENSEX25D0484600CE,CE,BUY,20,457.75,330.7,344.0,Auto-lightgbm-LimitChase,Signal Flip (SELL → BUY),CLOSED,0.9981693979978636,0.309,False,BSE-1764734986614-254
2025-12-03 09:40:47,2025-12-03 15:10:13,NSE,NSE_AUTO_0005,NIFTY25DEC25900CE,CE,BUY,75,394.2,192.05,-1953.75,Auto-lightgbm-LimitChase,Stop Loss (-25),CLOSED,0.9998122429532704,0.309,False,NSE-1764735047934-291
2025-12-03 09:44:50,2025-12-03 13:56:12,BSE,BSE_AUTO_0007,SENSEX25D0484700CE,CE,BUY,20,402.2,364.35,-28.0,Auto-lightgbm-LimitChase,Signal Flip (BUY → SELL),CLOSED,0.994287668172337,0.309,False,BSE-1764735290627-307
2025-12-03 10:03:23,2025-12-03 15:10:18,NSE,NSE_AUTO_0006,NIFTY25DEC25900CE,CE,BUY,75,389.0,188.75,-1905.0,Auto-lightgbm-LimitChase,Stop Loss (-25),CLOSED,0.9662687427166726,0.309,False,NSE-1764736403036-550
